SG1 [strain],SG2 [strain],SG3 [strain]
436.6145449,-165.4927225,-63.15331896
436.570582,-165.5230303,-62.93692367
436.5067928,-165.513505,-62.93692367
436.416281,-165.4572191,-63.02954085
436.268014,-165.3290605,-62.78458139
436.2343953,-165.4078607,-62.78804372
436.0568198,-165.3186693,-62.51278892
435.768044,-165.1584711,-62.43834894
435.6870144,-165.1922426,-62.47730009
435.5456436,-165.2060976,-62.48855264
435.4973707,-165.051095,-62.34573176
435.5344374,-165.050229,-62.3301513
435.26204,-164.9134111,-62.31803316
435.1189451,-164.9376573,-62.15963181
435.1396335,-164.9523782,-62.24965225
434.9025788,-164.7289667,-62.09384765
434.9017168,-164.8675165,-61.99084349
434.8474097,-164.8120966,-62.07826719
434.7387955,-164.6622896,-61.94150537
434.8310314,-164.751481,-62.08432625
434.8982687,-164.7566766,-61.93198397
435.3301393,-165.0407037,-62.10336904
435.7206331,-164.9844179,-62.12241182
436.5559277,-165.322999,-62.32755455
436.8291872,-165.3567705,-62.39593546
437.0541737,-165.5152368,-62.4123815
437.2101988,-165.5247621,-62.64955073
437.423117,-165.5256281,-62.50240194
437.3774301,-165.6728372,-62.58030424
437.5481095,-165.6866922,-62.6235833
437.7024106,-165.6615801,-62.71793164
437.7067207,-165.7940683,-62.67465259
437.7989565,-165.648591,-62.60886842
437.7868883,-165.7602968,-62.54135309
437.824817,-165.7221956,-62.56732053
437.6325872,-165.6035623,-62.63483586
437.7472355,-165.8157167,-62.55866472
437.6291391,-165.7966661,-62.53356286
437.670516,-165.7507715,-62.41670941
437.7498215,-165.6572504,-62.51105775
437.7170649,-165.7429781,-62.3760271
437.6343112,-165.7014131,-62.46345079
437.6196569,-165.6936197,-62.42969313
437.5825902,-165.6589823,-62.48422474
437.5541436,-165.6884241,-62.31889874
437.5188009,-165.7204637,-62.36996803
437.5610398,-165.7230615,-62.32755455
437.5282831,-165.6451273,-62.25051783
437.3463975,-165.6685076,-62.37516152
437.0972745,-165.5741205,-62.10336904
436.972282,-165.417386,-62.04710626
436.7309172,-165.3585024,-61.9034198
436.5792022,-165.2649812,-61.91726909
436.5473076,-165.1619348,-61.92938723
436.3076668,-165.2701769,-61.72337892
436.3024947,-165.2944231,-61.78829751
436.2524977,-165.1177721,-61.69048684
436.3524917,-165.2043657,-61.90947886
436.1016447,-165.2190866,-61.7380938
436.0473376,-165.0718774,-61.60392872
435.8516597,-165.051095,-61.53901014
435.763734,-165.0355081,-61.65499801
435.6723601,-165.0935259,-61.60392872
435.6025367,-164.8484659,-61.44812412
435.562884,-164.9367914,-61.48361295
435.4758202,-164.9186067,-61.39792041
435.3809983,-164.8813715,-61.51996735
435.3085889,-164.8484659,-61.32434602
435.2697981,-164.8372087,-61.36156601
435.0999807,-164.7220392,-61.15902002
435.0318814,-164.7081842,-61.21874512
434.914647,-164.615529,-61.09063911
434.6198372,-164.6501665,-61.00234984
434.5982867,-164.4882364,-61.07938656
434.5862185,-164.4501352,-60.88116848
434.6344915,-164.5246057,-61.04736005
434.5646681,-164.6787424,-60.74527224
434.8655121,-164.5679025,-60.9486838
435.6525337,-164.887433,-61.26375534
435.916311,-164.8969583,-61.2836637
436.5266192,-165.1679964,-61.45418319
436.8110848,-165.2130251,-61.5087148
436.9067687,-165.3411836,-61.43860273
437.0283132,-165.4251795,-61.3710874
437.1067567,-165.295289,-61.62989616
437.171408,-165.2978868,-61.59700407
437.0412434,-165.5749864,-61.50525247
437.1757181,-165.4104585,-61.61171895
437.1800282,-165.3411836,-61.58055803
