SG1 [strain],SG2 [strain],SG3 [strain]
161.0423077,-6.314927033,-57.97420079
162.1879285,-6.669094978,-57.95515801
162.7404815,-6.891640607,-57.84609478
164.123157,-7.315083455,-58.18453701
165.2532616,-7.659726101,-58.14125795
166.578182,-7.99657532,-58.08932308
167.3221028,-8.221718757,-58.1161561
168.3729017,-8.373257609,-58.22262258
169.0969962,-8.64429567,-58.11961842
169.9150505,-8.928322775,-57.95775475
170.9124043,-9.202824581,-58.23906862
172.2847357,-9.7734766,-58.16982213
173.4941458,-10.23935033,-58.36717463
174.912164,-10.59525015,-58.63810152
176.0733012,-10.89226629,-58.50566761
177.0068658,-11.18668464,-58.72985312
177.668895,-10.98318961,-58.6528164
178.6869373,-11.41788963,-58.73244987
179.9360001,-11.60406593,-58.84670658
181.1031714,-11.91320519,-59.09945627
182.2677566,-12.11410241,-59.15658462
183.4211356,-12.30114465,-59.32710411
184.4262476,-12.78520304,-59.21371298
185.4727365,-13.17833812,-59.20505717
186.3761305,-13.70915707,-59.26218552
187.8648341,-14.09709653,-59.35393712
189.3811224,-14.63830671,-59.42318361
190.8931005,-15.3154689,-59.66814307
192.6412713,-15.98483765,-59.75902909
194.0480833,-16.61090959,-59.89232859
195.0419892,-16.90186419,-60.06890714
196.1031323,-17.34608951,-60.1900885
197.1004862,-17.85785786,-60.26712522
198.5055742,-18.16872899,-60.25067918
199.902904,-18.7463085,-60.29395823
201.1416227,-19.46330375,-60.05592342
202.0476028,-19.85730477,-59.96936531
202.8044538,-20.24784204,-59.66987424
203.4794133,-20.50675699,-59.74517979
204.5319363,-20.85832713,-59.61014914
205.7275541,-21.31207775,-59.69411051
207.0059256,-21.65152477,-59.62313285
208.1084455,-22.00222897,-59.6577561
209.4928451,-22.13558316,-60.03082157
210.3177956,-22.13558316,-60.45322516
211.1048172,-22.54084135,-60.40908053
212.1151014,-22.76425291,-60.58306233
213.7805186,-22.99459197,-60.85485481
214.9166572,-23.33923462,-60.95093432
216.2924366,-23.52541092,-60.87389759
217.413921,-23.75488404,-60.8046511
218.4052407,-24.08826951,-61.11452915
219.0664079,-24.37922411,-60.910252
219.8991165,-24.64766436,-60.73107671
220.7163088,-24.98191577,-60.98555756
221.8929622,-25.28759128,-60.92323572
222.9687596,-25.51879627,-60.86524178
224.3764337,-25.91712697,-61.06778777
225.3005161,-25.99332936,-61.06519103
226.501306,-26.33624014,-61.26773701
227.1831616,-26.58995947,-61.45903044
228.9252983,-26.99521766,-61.74467222
230.0433346,-27.32340751,-61.71091455
231.6553067,-27.73992287,-61.79833825
232.3345763,-27.85249459,-61.67023224
233.2190059,-28.03001153,-61.90393915
233.9663748,-28.12093484,-61.79920383
234.6930553,-28.58940638,-62.08657676
235.7964373,-28.85265101,-61.98011029
237.2963471,-29.17477932,-62.2778702
238.4738626,-29.42590084,-62.29691298
240.0418719,-29.81210843,-62.30037531
241.1607702,-30.24421064,-62.25796183
242.1986388,-30.87980788,-62.38087435
243.1322034,-31.26861328,-62.43194364
244.4278153,-31.73015733,-62.23372556
245.6156749,-31.98560853,-62.47002921
246.8388773,-32.24798723,-62.38866458
247.6802061,-32.54760119,-62.28825717
248.8430672,-32.94506595,-62.32893948
249.9274848,-33.24294803,-62.38000877
250.7843299,-33.447309,-62.45098642
251.7972001,-33.86815404,-62.23805346
252.9514411,-34.29939032,-62.21122045
254.2323986,-34.55137778,-62.0346419
255.5099081,-34.98001624,-62.09263583
256.5960497,-35.36968758,-62.06407166
257.8373545,-35.64678719,-62.14283954
258.8709131,-36.07542566,-62.33240181
260.0303262,-36.52224879,-62.32980506
261.4207599,-36.90152889,-62.40251388
262.8939472,-37.40810162,-62.5254264
264.3188616,-37.96663053,-62.60592545
265.6498161,-38.36236342,-62.71758541
266.7575082,-38.71999511,-62.94350209
267.8289956,-38.84728774,-63.02400113
269.1280554,-39.28891525,-63.02140439
270.5314194,-39.88467943,-63.19798294
271.8201351,-40.32024538,-63.13392994
273.1743641,-40.71164859,-63.20490759
274.6811701,-41.17492451,-63.35984661
275.7095566,-41.54034962,-63.62125212
276.983618,-42.04605642,-63.44034566
278.2042343,-42.54310386,-63.63942932
279.8299987,-43.00984352,-63.68790186
280.9609652,-43.35448616,-63.66366559
282.8651612,-43.73116845,-64.06529524
284.3495548,-43.88357324,-64.31631377
285.5606889,-44.22908182,-64.58204718
286.6916554,-44.62308284,-64.76641596
287.6303921,-45.00842449,-65.15333073
288.678605,-45.18507549,-65.406946
289.6957853,-45.80941556,-64.77680293
291.335342,-46.17484068,-64.948188
292.7723246,-46.61560226,-65.04946099
294.0593162,-47.03125168,-65.15246514
295.4075111,-47.47374513,-65.40175251
296.2962508,-47.48760011,-65.48138598
297.210851,-47.96906069,-65.55409479
298.1556219,-48.30850771,-65.47446133
299.4874384,-48.79083423,-65.37232275
300.8459775,-49.09218006,-65.64324965
302.1614157,-49.59009343,-65.60083617
303.5268509,-50.00487692,-65.83194634
304.6940222,-50.27851279,-65.98169187
305.487078,-50.52357276,-66.25002202
306.3508192,-50.48806937,-66.23011366
307.6929799,-50.9634684,-66.59885122
308.6903338,-51.1877459,-66.26993039
310.2092081,-51.41288934,-66.41448244
311.3522428,-51.60079751,-66.61789401
312.566825,-51.60079751,-66.71743584
313.6133139,-51.89175211,-66.94075577
314.6485965,-52.30307185,-67.03250737
315.7605987,-52.77500713,-67.09396363
316.9639747,-53.07981671,-66.94941158
318.1087335,-53.36384381,-66.96066414
319.788805,-53.79248228,-67.00048087
321.1188975,-53.88513746,-67.11214083
322.300723,-54.21679106,-67.22466638
323.5204773,-54.64023391,-67.55358721
324.5773104,-54.78657715,-67.77171366
325.5884565,-55.05934708,-68.02792568
326.7349394,-55.49837678,-67.8063369
327.8503896,-55.8733272,-67.50771141
329.3287491,-56.19978518,-67.64447323
330.5278149,-56.44917483,-67.71804763
331.5493053,-56.6630611,-67.8063369
332.6130345,-56.82066151,-67.94656105
333.7155545,-57.16010853,-68.2927935
334.7267006,-57.32117269,-68.59920922
335.9671433,-57.49003026,-68.22354701
337.0998339,-57.68313406,-68.25297677
338.2816595,-57.69439123,-68.29106234
339.3583189,-57.81129263,-68.42436183
340.5582468,-57.90567969,-68.67970827
341.8004136,-57.9775524,-68.96361888
342.8529365,-58.12909125,-69.24579833
343.9235619,-58.46334266,-69.44401641
345.1640046,-58.73091698,-69.40246852
346.6475362,-59.09201241,-69.4769085
348.196581,-59.26779748,-69.65175588
349.6232195,-59.48081781,-69.97548323
350.7955628,-59.80640986,-70.07156273
351.9627341,-60.09649851,-70.17110457
353.0402555,-60.64983181,-70.17716363
354.4841343,-60.73729137,-69.93306975
355.8642238,-61.08366589,-70.16158317
357.3917183,-61.23607068,-70.48444494
358.9019724,-61.44216352,-70.46280541
360.3518852,-62.12105757,-70.50348772
361.5828458,-62.45184524,-70.75450625
362.8905258,-62.84411438,-70.79778531
363.7189243,-63.30392656,-70.51474028
365.2119381,-63.6771451,-70.51474028
366.5066879,-63.81482897,-70.64024954
368.0109079,-63.91614352,-70.81596251
369.3884113,-64.12483416,-71.1561359
370.8331521,-64.70934116,-71.40542326
372.1589345,-65.1682874,-71.48419115
374.6130974,-65.79262747,-72.07797981
375.9345698,-66.26283088,-71.72828503
377.2215614,-66.42389503,-71.63220552
378.7137131,-66.72264305,-71.66163528
379.8429556,-66.90622155,-71.98969053
381.4747542,-67.04996697,-72.38179878
382.719507,-67.39980524,-72.67523079
383.8823681,-67.40586679,-73.20323528
384.978854,-67.6898939,-73.43780777
386.8701197,-68.32116146,-72.96779721
387.9467791,-68.59566326,-72.80247122
389.3863478,-69.11782285,-72.85959957
390.6457549,-69.21047803,-72.95394791
391.9810195,-69.66422865,-73.26122922
393.0766433,-70.05130217,-73.50359193
394.5601749,-70.48946594,-73.47849008
395.8945775,-70.97871995,-73.50099519
397.6151638,-71.24369645,-73.68709514
399.283167,-71.67839648,-73.8584802
401.0580604,-72.22826602,-74.02986526
402.1726486,-72.43609073,-74.1294071
403.3613703,-72.78419713,-74.04631131
404.6259495,-72.87858418,-74.17787964
406.0431057,-73.234484,-73.87838857
407.514569,-73.56700354,-73.69055746
409.0274092,-73.94108802,-73.65506863
410.4937004,-74.27187568,-73.90868391
411.9332691,-74.64076454,-74.1155578
413.3185307,-74.97155221,-74.28348054
415.5571893,-75.51795801,-74.4228391
417.0639953,-75.99162517,-74.25837868
418.4320166,-76.3120216,-74.34839912
420.10864,-76.6938995,-74.40206515
421.5025218,-76.95108258,-74.37003865
423.0326023,-77.36932981,-74.99239149
424.0997795,-77.56070174,-75.03999845
425.3626347,-78.03610076,-75.45807414
426.3539545,-78.04216232,-75.73159778
427.1151156,-78.40931931,-75.93587492
427.7176656,-78.61974183,-75.99300328
428.1452261,-78.90203706,-76.10466325
428.5512362,-79.27698747,-76.2717204
428.7684646,-79.45710222,-76.07523349
429.1529242,-79.63028948,-76.08994837
429.3882549,-79.81559985,-76.20420508
429.5166955,-79.83378451,-76.16006044
429.842538,-79.94029468,-76.06138419
429.993391,-80.07364887,-76.01204606
430.1873448,-80.33602756,-75.99819677
430.1985511,-80.22778553,-76.00685258
430.147692,-80.32044071,-75.99906235
430.3614723,-80.39924091,-75.96270794
430.5830107,-80.64083714,-75.77747358
430.6907629,-80.67547459,-75.76968335
430.6588682,-80.61745686,-75.75410289
430.695073,-80.82787938,-75.776608
430.7536901,-80.81748814,-75.75843079
430.745932,-81.00886007,-75.5792555
430.8916129,-80.93612142,-75.48923506
430.9424719,-80.98374791,-75.61647549
430.8036871,-81.07207342,-75.44249368
430.8692004,-81.2028298,-75.45461181
430.8088592,-81.10930868,-75.44249368
430.7709305,-81.1075768,-75.3957523
430.8717865,-81.02184911,-75.22696397
430.8536841,-80.93698735,-75.05211659
430.9105773,-81.11796804,-75.10232029
430.7916189,-81.0954537,-75.04865426
430.7416219,-81.25392004,-75.05904123
430.8717865,-81.18637701,-74.97940777
430.7864468,-81.104979,-75.12569098
430.7924809,-81.06774373,-74.99152591
430.8183414,-81.19676824,-74.94824685
430.6605923,-81.04176565,-75.01316543
430.6278356,-81.30587622,-74.82100642
430.74938,-81.19676824,-74.76647481
430.6062852,-81.18031545,-74.62538509
430.6597303,-81.11277242,-74.70588413
430.5519781,-81.24179693,-74.62192276
430.5157734,-81.36822363,-74.78118969
