F1 [lbf],F2 [lbf],F3 [lbf]
29.3333333333333,101.333333333333,101.333333333333
29.3333333333333,101.333333333333,101.333333333333
29.3333333333333,101.333333333333,101.333333333333
29.3333333333333,101.333333333333,101.333333333333
29.3333333333333,101.333333333333,101.333333333333
29.3333333333333,101.333333333333,101.333333333333
29.3333333333333,101.333333333333,101.333333333333
29.3333333333333,101.333333333333,101.333333333333
33,114,114
33,114,114
33,114,114
33,114,114
33,114,114
33,114,114
33,114,114
33,114,114
36.6666666666667,126.666666666667,126.666666666667
36.6666666666667,126.666666666667,126.666666666667
36.6666666666667,126.666666666667,126.666666666667
36.6666666666667,126.666666666667,126.666666666667
36.6666666666667,126.666666666667,126.666666666667
36.6666666666667,126.666666666667,126.666666666667
36.6666666666667,126.666666666667,126.666666666667
36.6666666666667,126.666666666667,126.666666666667
40.3333333333333,139.333333333333,139.333333333333
40.3333333333333,139.333333333333,139.333333333333
40.3333333333333,139.333333333333,139.333333333333
40.3333333333333,139.333333333333,139.333333333333
40.3333333333333,139.333333333333,139.333333333333
40.3333333333333,139.333333333333,139.333333333333
40.3333333333333,139.333333333333,139.333333333333
40.3333333333333,139.333333333333,139.333333333333
44,152,152
44,152,152
44,152,152
44,152,152
44,152,152
44,152,152
44,152,152
44,152,152
47.6666666666667,164.666666666667,164.666666666667
47.6666666666667,164.666666666667,164.666666666667
47.6666666666667,164.666666666667,164.666666666667
47.6666666666667,164.666666666667,164.666666666667
47.6666666666667,164.666666666667,164.666666666667
47.6666666666667,164.666666666667,164.666666666667
47.6666666666667,164.666666666667,164.666666666667
47.6666666666667,164.666666666667,164.666666666667
51.3333333333333,177.333333333333,177.333333333333
51.3333333333333,177.333333333333,177.333333333333
51.3333333333333,177.333333333333,177.333333333333
51.3333333333333,177.333333333333,177.333333333333
51.3333333333333,177.333333333333,177.333333333333
51.3333333333333,177.333333333333,177.333333333333
55,190,190
55,190,190
55,190,190
55,190,190
55,190,190
55,190,190
55,190,190
58.6666666666667,202.666666666667,202.666666666667
58.6666666666667,202.666666666667,202.666666666667
58.6666666666667,202.666666666667,202.666666666667
58.6666666666667,202.666666666667,202.666666666667
58.6666666666667,202.666666666667,202.666666666667
58.6666666666667,202.666666666667,202.666666666667
58.6666666666667,202.666666666667,202.666666666667
62.3333333333333,215.333333333333,215.333333333333
62.3333333333333,215.333333333333,215.333333333333
62.3333333333333,215.333333333333,215.333333333333
62.3333333333333,215.333333333333,215.333333333333
62.3333333333333,215.333333333333,215.333333333333
62.3333333333333,215.333333333333,215.333333333333
62.3333333333333,215.333333333333,215.333333333333
66,228,228
66,228,228
66,228,228
66,228,228
66,228,228
66,228,228
66,228,228
69.6666666666667,240.666666666667,240.666666666667
69.6666666666667,240.666666666667,240.666666666667
69.6666666666667,240.666666666667,240.666666666667
69.6666666666667,240.666666666667,240.666666666667
69.6666666666667,240.666666666667,240.666666666667
69.6666666666667,240.666666666667,240.666666666667
69.6666666666667,240.666666666667,240.666666666667
69.6666666666667,240.666666666667,240.666666666667
73.3333333333333,253.333333333333,253.333333333333
73.3333333333333,253.333333333333,253.333333333333
73.3333333333333,253.333333333333,253.333333333333
73.3333333333333,253.333333333333,253.333333333333
73.3333333333333,253.333333333333,253.333333333333
73.3333333333333,253.333333333333,253.333333333333
73.3333333333333,253.333333333333,253.333333333333
73.3333333333333,253.333333333333,253.333333333333
77,266,266
77,266,266
77,266,266
77,266,266
77,266,266
77,266,266
80.6666666666667,278.666666666667,278.666666666667
80.6666666666667,278.666666666667,278.666666666667
80.6666666666667,278.666666666667,278.666666666667
80.6666666666667,278.666666666667,278.666666666667
